Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_lbs,Price,Agrupamiento de precios,Pantalla-Full_HD,Pantalla-IPS_panel
Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,Bajo,0,1
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.69665,925,Bajo,1,0
Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,Bajo,0,1
Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,Bajo,0,1
Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,Medio,0,1
HP,3,3,1,5,17.3,0.5517241379310345,8,256,5.5125,1172,Bajo,1,0
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,4.106221030042918,1777,Medio,1,0
Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,Bajo,0,1
HP,3,3,1,7,17.3,0.6206896551724138,8,256,5.5125,1327,Bajo,1,0
Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.646,1841,Medio,1,0
Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,Bajo,0,1
HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,Bajo,1,0
Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,Bajo,1,0
Dell,3,1,2,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,860,Bajo,1,0
Toshiba,4,2,1,7,13.299999999999999,0.8620689655172414,8,256,2.646,1731,Medio,1,0
Acer,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,1057,Bajo,1,0
Asus,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.41,977,Bajo,1,0
Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,Bajo,1,0
Dell,3,1,2,7,15.600000000000001,0.9310344827586208,16,256,4.106221030042918,1142,Bajo,1,0
Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,Bajo,0,1
Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.6448,1117,Bajo,1,0
Asus,1,3,1,7,17.3,1.0,16,256,7.938000000000001,3810,Alto,1,0
Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,Bajo,0,1
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,3.10905,1206,Bajo,1,0
Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.52025,1118,Bajo,1,0
Dell,3,1,2,7,15.600000000000001,0.6206896551724138,8,256,4.106221030042918,934,Bajo,1,0
Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,Bajo,0,1
Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,6,256,4.851000000000001,735,Bajo,1,0
Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.615,1208,Bajo,0,1
Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.29975,1394,Bajo,0,1
Asus,4,3,1,5,15.600000000000001,0.8620689655172414,8,256,3.7485,1241,Bajo,1,0
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.41,2323,Medio,1,0
Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,8,256,4.52025,939,Bajo,1,0
Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1244,Bajo,1,0
Dell,5,3,1,7,17.3,1.0,16,256,7.5411,3665,Alto,1,0
Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1325,Bajo,0,1
Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.4255000000000004,1269,Bajo,0,1
HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.29975,1245,Bajo,1,0
HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2634,1641,Medio,1,0
Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,Bajo,1,0
Asus,4,3,1,7,15.600000000000001,0.9310344827586208,8,256,3.7485,1334,Bajo,1,0
HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.7783,1696,Medio,1,0
Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,Bajo,0,1
Asus,1,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1269,Bajo,1,0
HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2634,1611,Bajo,1,0
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.0572,1453,Bajo,1,0
Dell,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.41,1452,Bajo,1,0
Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.646,2006,Medio,1,0
HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0572,1656,Medio,1,0
HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.7330000000000005,2208,Medio,1,0
Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.9988,1813,Medio,1,0
Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,Bajo,1,0
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,5.137650000000001,1142,Bajo,1,0
HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.9988,2223,Medio,0,1
Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.3075,1396,Bajo,0,1
Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3075,697,Bajo,0,1
Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.41,2712,Medio,0,1
MSI,1,3,1,7,17.3,0.9655172413793103,8,256,5.953500000000001,1714,Medio,1,0
Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,5.137650000000001,989,Bajo,1,0
Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.6305000000000005,1562,Bajo,0,1
Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.1895,1192,Bajo,0,1
Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1117,Bajo,1,0
Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,256,5.0714999999999995,761,Bajo,1,0
HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.15315,1905,Medio,1,0
Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.85875,1544,Bajo,0,1
HP,3,2,1,7,15.600000000000001,1.0,8,256,5.0935500000000005,1813,Medio,1,0
Dell,4,2,2,7,14.0,0.9655172413793103,8,256,3.5280000000000005,1396,Bajo,1,0
Lenovo,3,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0869999999999997,1283,Bajo,0,1
Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.7485,761,Bajo,0,1
Asus,3,2,2,5,15.600000000000001,0.8620689655172414,4,256,4.41,710,Bajo,1,0
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,4,256,4.851000000000001,951,Bajo,1,0
Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,2.9988,1815,Medio,0,1
Dell,3,3,1,5,14.0,0.9655172413793103,8,256,3.6162,1498,Bajo,1,0
MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.851000000000001,1306,Bajo,1,0
Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.78485,2509,Medio,0,1
Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.6382499999999998,1709,Medio,1,0
Lenovo,3,3,1,7,15.600000000000001,1.0,8,256,5.88735,2655,Medio,1,0
Dell,4,2,1,5,15.600000000000001,0.5517241379310345,8,256,3.1311,2340,Medio,1,0
Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,3.9249,3059,Alto,1,0
Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,2124,Medio,0,1
HP,3,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.28545,922,Bajo,0,1
Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.85875,1333,Bajo,0,1
Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1286,Bajo,0,1
Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.78485,1142,Bajo,1,0
Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0869999999999997,1206,Bajo,0,1
Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1157,Bajo,0,1
Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.1752,1206,Bajo,1,0
Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,128,2.84445,1142,Bajo,0,1
HP,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.498200000000001,1129,Bajo,1,0
HP,4,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.9106,1777,Medio,0,1
Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.6162,1626,Medio,1,0
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.4541,1702,Medio,1,0
Dell,3,2,1,5,15.600000000000001,0.9655172413793103,8,256,4.1895,1749,Medio,1,0
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.25565,1739,Medio,1,0
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,1013,Bajo,1,0
Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.12335,1091,Bajo,0,1
Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.5280000000000005,935,Bajo,1,0
HP,3,2,1,3,15.600000000000001,0.8275862068965517,4,128,4.6305000000000005,896,Bajo,1,0
Lenovo,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.851000000000001,634,Bajo,1,0
Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1895,1419,Bajo,1,0
Lenovo,3,2,1,3,15.600000000000001,0.9310344827586208,4,128,4.52025,800,Bajo,1,0
Lenovo,3,3,1,7,17.0,0.9655172413793103,8,256,7.497,3810,Alto,0,1
Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.0714999999999995,1054,Bajo,1,0
Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,951,Bajo,1,0
HP,3,2,1,3,13.299999999999999,0.8275862068965517,4,128,3.28545,913,Bajo,1,0
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,16,256,4.25565,1953,Medio,1,0
Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.0869999999999997,2125,Medio,0,1
Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.7485,1872,Medio,0,1
Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.5423,2240,Medio,1,0
HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0572,1548,Bajo,1,0
Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1777,Medio,0,1
Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,128,4.806900000000001,723,Bajo,1,0
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.6382499999999998,1861,Medio,1,0
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.41,2312,Medio,1,0
Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,4,256,3.9690000000000003,1053,Bajo,1,0
Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.9690000000000003,1167,Bajo,0,1
Razer,1,3,1,7,14.0,0.9655172413793103,16,256,4.29975,3301,Alto,1,0
Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.646,1541,Bajo,1,0
Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2012,Medio,0,1
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,2.646,1842,Medio,1,0
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.851000000000001,1167,Bajo,1,0
Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.4398000000000004,1561,Bajo,1,0
Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1598,Bajo,0,1
Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.4255000000000004,1442,Bajo,1,0
Acer,1,3,1,5,15.600000000000001,0.8620689655172414,16,256,5.5125,1650,Medio,1,0
MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.851000000000001,1268,Bajo,1,0
HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.5125,888,Bajo,0,1
Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.7485,888,Bajo,1,0
Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.3075,1236,Bajo,0,1
Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.806900000000001,1010,Bajo,1,0
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.9690000000000003,1513,Bajo,1,0
Dell,3,3,2,5,14.0,0.9655172413793103,8,256,3.6162,1383,Bajo,1,0
Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.12335,1089,Bajo,0,1
Dell,3,2,1,5,15.600000000000001,0.896551724137931,8,256,4.1895,1498,Bajo,1,0
HP,3,3,1,7,17.3,0.9310344827586208,8,256,5.79915,1524,Bajo,1,0
Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,1904,Medio,0,1
Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1752,1219,Bajo,0,1
HP,5,3,1,7,15.600000000000001,0.9655172413793103,16,256,5.7330000000000005,3073,Alto,1,0
Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.75625,1950,Medio,0,1
Samsung,4,2,1,7,13.299999999999999,0.9310344827586208,16,256,1.7860500000000001,2095,Medio,1,0
HP,3,2,1,3,15.600000000000001,0.6896551724137931,8,256,4.1013,685,Bajo,1,0
HP,3,2,1,5,15.600000000000001,0.8275862068965517,8,256,4.0572,2414,Medio,1,0
HP,5,3,1,7,15.600000000000001,0.896551724137931,8,256,5.7109499999999995,1983,Medio,1,0
Dell,4,2,1,7,12.5,0.9655172413793103,16,256,2.6019,2361,Medio,1,0
Samsung,4,2,1,7,15.600000000000001,0.9310344827586208,8,256,2.8885500000000004,2031,Medio,1,0
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,16,256,5.0714999999999995,1501,Bajo,1,0
Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.9690000000000003,808,Bajo,0,1
Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.777100000000001,1251,Bajo,1,0
Dell,3,1,1,3,15.600000000000001,0.6896551724137931,8,256,4.41,939,Bajo,1,0
HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,6.9237,2623,Medio,1,0
Asus,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.22585,1396,Bajo,1,0
Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.84445,1904,Medio,1,0
Samsung,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,1.7860500000000001,1904,Medio,1,0
Dell,3,1,1,5,15.600000000000001,0.8620689655172414,8,256,4.806900000000001,1003,Bajo,1,0
Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.9106,2361,Medio,1,0
MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.292,1523,Bajo,1,0
Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.3075,786,Bajo,0,1
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.7485,1507,Bajo,1,0
Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.9106,2096,Medio,0,1
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,4,256,4.806900000000001,939,Bajo,1,0
Lenovo,4,3,1,7,14.0,0.9655172413793103,8,256,4.3218,2417,Medio,0,1
Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.0714999999999995,1000,Bajo,0,1
Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,128,4.1895,1200,Bajo,1,0
HP,3,1,1,5,15.600000000000001,0.896551724137931,8,256,4.0572,1714,Medio,1,0
Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,2.3152500000000003,1632,Medio,1,0
Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.4398000000000004,1146,Bajo,0,1
Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.41,1763,Medio,0,1
Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.71215,2349,Medio,1,0
Dell,4,2,1,7,12.5,0.9655172413793103,8,256,3.5280000000000005,2147,Medio,1,0
Xiaomi,4,3,1,5,13.000000000000002,0.793103448275862,8,256,2.8224,1188,Bajo,0,1
HP,3,2,1,5,15.600000000000001,0.8620689655172414,4,256,4.498200000000001,1066,Bajo,1,0
HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.29975,1607,Bajo,1,0
Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.57985,2158,Medio,1,0
Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,2285,Medio,0,1
Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.3152500000000003,1874,Medio,1,0
Dell,3,2,1,5,14.0,0.9655172413793103,8,256,3.5280000000000005,1531,Bajo,1,0
Lenovo,3,3,1,7,15.600000000000001,0.9310344827586208,6,256,4.851000000000001,1002,Bajo,1,0
HP,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.498200000000001,1294,Bajo,1,0
Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,3.1752,1119,Bajo,1,0
HP,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.28545,1219,Bajo,1,0
HP,4,1,1,7,15.600000000000001,0.8620689655172414,8,256,4.0572,1648,Medio,1,0
Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.292,2509,Medio,0,1
Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2096,Medio,0,1
HP,3,2,1,5,15.600000000000001,0.793103448275862,8,256,5.0935500000000005,1480,Bajo,1,0
Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.24135,1404,Bajo,0,1
HP,2,2,1,5,12.5,0.793103448275862,8,256,2.7783,2120,Medio,1,0
Dell,4,2,1,5,14.0,0.8620689655172414,8,256,2.9988,2082,Medio,1,0
Dell,4,2,1,5,15.600000000000001,0.8620689655172414,8,256,2.9988,1870,Medio,1,0
Dell,4,2,1,7,14.0,0.9655172413793103,8,256,2.9988,2255,Medio,1,0
Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.646,1855,Medio,1,0
Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.7485,1891,Medio,0,1
Toshiba,3,2,1,5,13.299999999999999,0.8275862068965517,8,256,2.646,1950,Medio,1,0
Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,2.9988,2236,Medio,0,1
Lenovo,3,3,1,5,15.600000000000001,0.8620689655172414,6,256,5.292,883,Bajo,1,0
Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.29975,1499,Bajo,1,0
